accX,accY,accZ,angle,force,mic,ldr,direction,timestamp
-0.47,0.18,0.83,12.21,50.00,0.00,3811.00,N,2025-10-14 17:04:17
-0.47,0.18,0.84,11.96,0.00,0.00,3810.00,N,2025-10-14 17:04:18
-0.47,0.18,0.83,12.42,0.26,0.00,3806.00,N,2025-10-14 17:04:18
-0.47,0.18,0.83,12.23,4.32,0.00,3758.00,N,2025-10-14 17:04:18
-0.47,0.18,0.83,12.30,0.00,0.00,3793.00,N,2025-10-14 17:04:18
-0.47,0.18,0.83,12.25,50.00,0.00,3792.00,N,2025-10-14 17:04:18
-0.47,0.18,0.83,12.24,0.00,0.00,3859.00,N,2025-10-14 17:04:19
-0.47,0.18,0.83,12.30,50.00,0.00,3824.00,N,2025-10-14 17:04:19
-0.47,0.18,0.83,12.01,0.00,0.00,3824.00,N,2025-10-14 17:04:19
-0.46,0.18,0.84,12.13,0.00,0.00,3844.00,N,2025-10-14 17:04:19
-0.47,0.18,0.83,12.17,50.00,0.00,3850.00,N,2025-10-14 17:04:20
-0.47,0.18,0.84,12.22,0.00,0.00,3823.00,N,2025-10-14 17:04:20
-0.47,0.18,0.83,12.31,50.00,0.00,3776.00,N,2025-10-14 17:04:20
-0.47,0.18,0.83,12.13,0.00,0.00,3792.00,N,2025-10-14 17:04:20
-0.47,0.18,0.84,12.23,0.00,0.00,3811.00,N,2025-10-14 17:04:21
-0.47,0.18,0.83,12.53,50.00,0.00,3779.00,N,2025-10-14 17:04:21
-0.47,0.18,0.83,12.30,0.00,0.00,3759.00,N,2025-10-14 17:04:21
-0.47,0.18,0.83,12.27,50.00,0.00,3819.00,N,2025-10-14 17:04:21
-0.47,0.18,0.83,12.38,0.00,0.00,3727.00,N,2025-10-14 17:04:21
-0.47,0.18,0.83,12.18,0.00,0.00,3776.00,N,2025-10-14 17:04:22
-0.47,0.18,0.83,12.35,26.85,0.00,3751.00,N,2025-10-14 17:04:22
-0.47,0.18,0.83,12.38,0.00,0.00,3764.00,N,2025-10-14 17:04:22
-0.47,0.18,0.83,12.22,50.00,0.00,3737.00,N,2025-10-14 17:04:22
-0.47,0.18,0.84,12.19,0.00,0.00,3742.00,N,2025-10-14 17:04:23
-0.47,0.18,0.83,12.11,18.23,0.00,3761.00,N,2025-10-14 17:04:23
-0.47,0.18,0.84,12.42,0.00,0.00,3726.00,N,2025-10-14 17:04:23
-0.47,0.18,0.83,12.26,0.00,0.00,3715.00,N,2025-10-14 17:04:23
-0.47,0.18,0.83,12.25,50.00,0.00,3779.00,N,2025-10-14 17:04:23
-0.47,0.18,0.84,11.99,0.00,0.00,3779.00,N,2025-10-14 17:04:24
-0.47,0.18,0.84,12.33,50.00,0.00,3746.00,N,2025-10-14 17:04:24
-0.47,0.18,0.83,12.15,0.00,0.00,3725.00,N,2025-10-14 17:04:24
-0.47,0.18,0.84,12.26,0.00,0.00,3730.00,N,2025-10-14 17:04:24
-0.47,0.18,0.84,11.89,50.00,0.00,3734.00,N,2025-10-14 17:04:25
-0.47,0.18,0.83,12.18,0.00,0.00,3750.00,N,2025-10-14 17:04:25
-0.47,0.18,0.84,12.18,50.00,0.00,3760.00,N,2025-10-14 17:04:25
-0.47,0.18,0.83,12.31,0.00,0.00,3776.00,N,2025-10-14 17:04:25
-0.47,0.18,0.84,12.05,0.00,0.00,3751.00,N,2025-10-14 17:04:25
-0.46,0.18,0.83,12.32,31.22,0.00,3766.00,N,2025-10-14 17:04:26
-0.47,0.18,0.83,12.18,0.00,0.00,3733.00,N,2025-10-14 17:04:26
-0.47,0.18,0.83,12.27,50.00,0.00,3760.00,N,2025-10-14 17:04:26
-0.47,0.18,0.83,12.18,0.00,0.00,3771.00,N,2025-10-14 17:04:26
-0.47,0.18,0.83,12.40,15.16,0.00,3771.00,N,2025-10-14 17:04:27
-0.47,0.18,0.83,12.11,0.00,0.00,3759.00,N,2025-10-14 17:04:27
-0.47,0.18,0.83,12.38,0.00,0.00,3758.00,N,2025-10-14 17:04:27
-0.47,0.18,0.83,12.39,50.00,0.00,3740.00,N,2025-10-14 17:04:27
-0.47,0.18,0.83,12.31,0.00,0.00,3770.00,N,2025-10-14 17:04:28
-0.47,0.18,0.83,12.07,50.00,0.00,3761.00,N,2025-10-14 17:04:28
